dato        inde   min     EF    VI  hm/km  hard%  coast%  navn
----------------------------------------------------------------------------------------------------
2026-06-18  ude     95  1.087     -   20.5    0.0    34.0  Fornalutx Cykling på vej
2026-06-20  ude     42      -     -    3.2    0.0       -  Gentofte Cykling
2026-06-21  ude    173  1.123     -    4.1    0.0    14.5  Gentofte Cykling på vej
2026-06-23  ude     23      -     -    5.2    0.0       -  Gentofte Cykling
2026-06-24  ude     54      -     -    4.0    0.0       -  Ballerup Cykling
2026-06-25  ude     49      -     -    4.9    1.5       -  Gentofte Cykling
2026-06-25  ude     86  1.304     -    6.0    1.2    19.2  Gentofte - Cykel Z2 45 min
2026-06-26  ude     82  1.347     -    7.1    0.6    22.6  Gentofte Cykling på vej
2026-07-01  ude    107  1.508     -    6.7    1.4    18.0  Gentofte - Cykel Z2 75 min
2026-07-02  ude     52      -     -    3.9    0.0       -  Gentofte Cykling
2026-07-03  ude     19      -     -    7.8    0.0       -  Gentofte Cykling
2026-07-05  ude    251  1.237     -    4.7    0.0    11.4  Gentofte Cykling på vej
2026-07-07  INDE    70      -     -      -      -       -  Zwift Z2 70 min (manuel)
2026-07-14  ude     24      -     -    5.6    0.0       -  Gentofte Cykling
2026-07-15  ude     12      -     -    8.2    0.0       -  Gentofte Cykling
2026-07-15  ude    102  1.299     -    7.2    0.0    24.9  Gentofte Cykling på vej
2026-07-16  ude     74  1.029     -   29.8   31.4    24.0  Fornalutx Cykling på vej
2026-07-17  ude    194  1.057     -   19.1    1.2    30.7  Fornalutx Cykling på vej
2026-07-18  ude    217  1.110     -   20.1   15.7    34.6  Fornalutx Cykling på vej
2026-07-20  ude    224  1.100     -   29.0    7.3    24.8  Fornalutx Cykling på vej
2026-07-23  ude     12      -     -    9.9    0.0       -  Gentofte Cykling
2026-07-24  ude     44      -     -    6.2    0.0       -  Gentofte Cykling
2026-07-26  INDE    63  1.508     -    7.7    0.0     0.3  45m Z2 
2026-07-28  INDE    73  1.762     -    8.0   25.0     0.4  FTP test 20 min 
2026-07-30  ude     12      -     -    8.8    0.0       -  Gentofte Cykling
2026-08-03  INDE    91  1.600     -   18.5    0.0     0.7  3×15 min Z3 
2026-08-11  ude    215  1.074     -   29.0    5.9    25.4  Fornalutx Cykling på vej
2026-08-15  ude     83  1.051     -   29.9    0.0    24.6  Fornalutx Cykling på vej
2026-08-19  INDE    52  1.500     -    4.8    0.0     0.9  35m Z2 
2026-08-22  INDE    47  1.480     -    8.4    0.0     0.9  30m Z2 
