LOEB-daekning gap                       35/35
LOEB-daekning pace                      35/35
LOEB-daekning average_speed             35/35
LOEB-daekning average_heartrate         35/35
LOEB-daekning total_elevation_gain      35/35
LOEB-daekning threshold_pace            26/35
LOEB-daekning icu_intensity             35/35
LOEB-daekning trainer                    1/35
LOEB-daekning race                      35/35
LOEB-daekning commute                   35/35

  2026-06-21    173   46   1.122807    12.8  None   128   114 | Gentofte Cykling på vej
  2026-06-23     23   43       None    None  None  None    97 | Gentofte Cykling
  2026-06-24     54   47       None    None  None  None   101 | Ballerup Cykling
  2026-06-25     49   56       None    None  None  None   115 | Gentofte Cykling
  2026-06-25     86   58      1.304    20.8  None   163   125 | Gentofte - Cykel Z2 45 min
  2026-06-26     82   58  1.3471074   -26.6  None   163   121 | Gentofte Cykling på vej
  2026-07-01    107   66  1.5081967     6.8  None   184   122 | Gentofte - Cykel Z2 75 min
  2026-07-02     52   25       None    None  None  None    74 | Gentofte Cykling
  2026-07-03     19   40       None    None  None  None    92 | Gentofte Cykling
  2026-07-05    251   52  1.2372881    11.6  None   146   118 | Gentofte Cykling på vej
  2026-07-07     70   65       None    None  None  None  None | Zwift Z2 70 min (manuel)
  2026-07-14     24   41       None    None  None  None    96 | Gentofte Cykling
  2026-07-15     12   38       None    None  None  None    86 | Gentofte Cykling
  2026-07-15    102   54  1.2991453    -1.3  None   152   117 | Gentofte Cykling på vej
  2026-07-16     74   51   1.028777     4.2  None   143   139 | Fornalutx Cykling på vej
  2026-07-17    194   46  1.0573771     9.8  None   129   122 | Fornalutx Cykling på vej
  2026-07-18    217   50  1.1102362    28.6  None   141   127 | Fornalutx Cykling på vej
  2026-07-20    224   47        1.1   -16.7  None   132   120 | Fornalutx Cykling på vej
  2026-07-23     12   42       None    None  None  None    91 | Gentofte Cykling
  2026-07-24     44   46       None    None  None  None   103 | Gentofte Cykling
  2026-07-26     63   66  1.5081967     0.7  True   184   122 | 45m Z2 
  2026-07-28     73   82  1.7615385    12.1  True   229   130 | FTP test 20 min 
  2026-07-30     12   38       None    None  None  None    94 | Gentofte Cykling
  2026-08-03     91   72        1.6     1.7  True   200   125 | 3×15 min Z3 
  2026-08-11    215   47  1.0737705    -7.4  None   131   122 | Fornalutx Cykling på vej
  2026-08-15     83   45  1.0508474    -1.0  None   124   118 | Fornalutx Cykling på vej
  2026-08-19     52   67        1.5    -1.5  True   186   124 | 35m Z2 
  2026-08-22     47   67       1.48    -0.1  True   185   125 | 30m Z2 
